Elapsed time,Server Hits per Second
12:39:12.0,7.0
12:39:13.0,7.0
12:39:14.0,7.0
12:39:15.0,6.0
12:39:16.0,6.0
12:39:17.0,7.0
12:39:18.0,8.0
12:39:19.0,8.0
12:39:20.0,8.0
12:39:21.0,7.0
12:39:22.0,7.0
12:39:23.0,7.0
12:39:24.0,6.0
12:39:25.0,7.0
12:39:26.0,7.0
12:39:27.0,8.0
12:39:28.0,9.0
12:39:29.0,5.0
12:39:30.0,7.0
12:39:31.0,7.0
12:39:32.0,5.0
12:39:33.0,8.0
12:39:34.0,7.0
12:39:35.0,6.0
12:39:36.0,7.0
12:39:37.0,6.0
12:39:38.0,8.0
12:39:39.0,8.0
12:39:40.0,7.0
12:39:41.0,7.0
12:39:42.0,8.0
