Elapsed time,Response Times,VU
12:37:21.500,2721,41.0
12:37:22.0,2528,41.0
12:37:22.500,2180,41.0
12:37:23.0,632,41.0
12:37:23.500,3538,41.0
12:37:24.0,1180,41.0
12:37:24.500,2476,41.0
12:37:25.0,2287,41.0
12:37:25.500,2776,41.0
12:37:26.0,932,41.0
12:37:26.500,3008,41.0
12:37:27.0,1872,41.0
12:37:27.500,2511,41.0
12:37:28.0,1729,41.0
12:37:28.500,2169,41.0
12:37:29.0,841,41.0
12:37:29.500,2251,41.0
12:37:30.0,2026,41.0
12:37:30.500,2115,41.0
12:37:31.0,2413,41.0
12:37:31.500,1976,41.0
12:37:32.0,3182,41.0
12:37:32.500,2015,41.0
12:37:33.0,1054,41.0
12:37:33.500,3425,41.0
12:37:34.0,1877,41.0
12:37:34.500,1714,41.0
12:37:35.0,2694,41.0
12:37:35.500,1753,41.0
12:37:36.0,1058,41.0
12:37:36.500,1635,41.0
12:37:37.0,2703,41.0
12:37:37.500,3766,41.0
12:37:38.0,1376,41.0
12:37:38.500,1850,41.0
12:37:39.0,2576,41.0
12:37:39.500,2688,41.0
12:37:40.0,2528,41.0
12:37:40.500,2351,41.0
12:37:41.0,2069,41.0
12:37:41.500,3513,41.0
12:37:42.0,1656,41.0
12:37:42.500,2383,41.0
12:37:43.0,1138,41.0
12:37:43.500,2631,41.0
12:37:44.0,2940,41.0
12:37:44.500,2698,41.0
12:37:45.0,1352,41.0
12:37:45.500,1490,41.0
12:37:46.0,2565,41.0
12:37:46.500,2277,41.0
12:37:47.0,1866,41.0
12:37:47.500,2096,41.0
12:37:48.0,2755,41.0
12:37:48.500,1044,41.0
12:37:49.0,1848,41.0
12:37:49.500,3569,41.0
12:37:50.0,1876,41.0
12:37:50.500,2239,41.0
12:37:51.0,2705,41.0
12:37:51.500,2152,41.0
12:37:52.0,1910,41.0
12:37:52.500,1928,41.0
12:37:53.0,2090,41.0
12:37:53.500,3448,41.0
12:37:54.0,1081,41.0
12:37:54.500,3348,41.0
12:37:55.0,2499,41.0
12:37:55.500,1178,41.0
12:37:56.0,1592,41.0
12:37:56.500,2316,41.0
12:37:57.0,1249,41.0
12:37:57.500,981,41.0
12:37:58.0,2134,41.0
12:37:58.500,2139,41.0
12:37:59.0,1333,41.0
12:37:59.500,2318,41.0
12:38:00.0,2144,41.0
12:38:00.500,2636,41.0
12:38:01.0,2932,41.0
12:38:01.500,1858,41.0
12:38:02.0,1332,41.0
12:38:02.500,6533,41.0
12:38:03.0,1205,41.0
12:38:03.500,3932,41.0
12:38:04.0,1545,41.0
12:38:04.500,1210,41.0
12:38:05.0,2119,41.0
12:38:05.500,2960,41.0
12:38:06.0,1887,41.0
12:38:06.500,2369,41.0
12:38:07.0,2461,41.0
12:38:07.500,3123,41.0
12:38:08.0,1752,41.0
12:38:08.500,2652,41.0
12:38:09.0,988,41.0
12:38:09.500,3595,41.0
12:38:10.0,2674,41.0
12:38:10.500,2033,41.0
12:38:11.0,1670,41.0
12:38:11.500,3017,41.0
12:38:12.0,1219,41.0
12:38:12.500,2558,41.0
12:38:13.0,3016,41.0
12:38:13.500,3276,41.0
12:38:14.0,1803,41.0
12:38:14.500,2893,41.0
12:38:15.0,1794,41.0
12:38:15.500,3076,41.0
12:38:16.0,1591,41.0
12:38:16.500,2138,41.0
12:38:17.0,1617,41.0
12:38:17.500,3218,41.0
12:38:18.0,1697,41.0
12:38:18.500,2897,41.0
12:38:19.0,1607,41.0
12:38:19.500,2640,41.0
12:38:20.0,1981,41.0
12:38:20.500,3034,41.0
12:38:21.0,1741,41.0
12:38:21.500,3286,41.0
12:38:22.0,1236,41.0
12:38:22.500,1638,41.0
12:38:23.0,1665,41.0
12:38:23.500,3688,41.0
12:38:24.0,1088,41.0
12:38:24.500,2775,41.0
12:38:25.0,1551,41.0
12:38:25.500,3499,41.0
12:38:26.0,2600,41.0
12:38:26.500,1792,41.0
12:38:27.0,3429,41.0
12:38:27.500,2825,41.0
12:38:28.0,2124,41.0
12:38:28.500,2905,41.0
12:38:29.0,1084,41.0
12:38:29.500,1819,41.0
12:38:30.0,2314,41.0
12:38:30.500,1588,41.0
12:38:31.0,1537,41.0
12:38:31.500,2029,41.0
12:38:32.0,597,41.0
12:38:32.500,1974,41.0
12:38:33.0,1479,41.0
12:38:33.500,2201,41.0
12:38:34.0,1273,41.0
12:38:34.500,2358,41.0
12:38:35.0,2614,41.0
12:38:35.500,2727,41.0
12:38:36.0,823,41.0
12:38:36.500,1480,41.0
12:38:37.0,3453,41.0
12:38:37.500,1205,41.0
12:38:38.0,2264,41.0
12:38:38.500,2449,41.0
12:38:39.0,1176,41.0
12:38:39.500,1193,41.0
12:38:40.0,2185,41.0
12:38:40.500,2044,41.0
12:38:41.0,2529,41.0
12:38:41.500,1825,41.0
12:38:42.0,2785,41.0
12:38:42.500,3149,41.0
12:38:43.0,1566,41.0
12:38:43.500,1398,41.0
12:38:44.0,2422,41.0
12:38:44.500,1722,41.0
12:38:45.0,4005,41.0
12:38:45.500,1962,41.0
12:38:46.0,983,41.0
12:38:46.500,1635,41.0
12:38:47.0,3706,41.0
12:38:47.500,2902,41.0
12:38:48.0,4563,41.0
12:38:48.500,3470,41.0
12:38:49.0,1848,41.0
12:38:49.500,2958,41.0
12:38:50.0,2268,41.0
12:38:50.500,3439,41.0
12:38:51.0,2836,41.0
12:38:51.500,1095,41.0
12:38:52.0,1794,41.0
12:38:52.500,1382,41.0
12:38:53.0,1704,41.0
12:38:54.0,2037,41.0
12:38:54.500,1811,41.0
12:38:55.0,1705,41.0
12:38:55.500,2443,41.0
12:38:56.0,1518,41.0
12:38:56.500,3679,41.0
12:38:57.0,1779,41.0
12:38:57.500,2487,41.0
12:38:58.0,1304,41.0
12:38:58.500,3191,41.0
12:38:59.0,2300,41.0
12:38:59.500,3005,41.0
12:39:00.0,2375,41.0
12:39:00.500,1726,41.0
12:39:01.0,2297,41.0
12:39:01.500,1341,41.0
12:39:02.0,2612,41.0
12:39:02.500,4086,41.0
12:39:03.0,1842,41.0
12:39:03.500,3122,41.0
12:39:04.0,1200,41.0
12:39:04.500,1149,41.0
12:39:05.0,1971,41.0
12:39:05.500,2103,41.0
12:39:06.0,1427,41.0
12:39:06.500,2056,41.0
12:39:07.0,1094,41.0
12:39:07.500,807,41.0
12:39:08.0,2155,41.0
12:39:08.500,1483,41.0
12:39:09.0,1807,41.0
12:39:09.500,2889,41.0
12:39:10.0,1473,41.0
12:39:10.500,1876,41.0
12:39:11.0,2851,41.0
12:39:11.500,1244,41.0
12:39:12.0,2507,41.0
12:39:12.500,1186,41.0
12:39:13.0,1310,41.0
12:39:13.500,2517,41.0
12:39:14.0,1350,41.0
12:39:14.500,1064,41.0
12:39:15.0,1665,41.0
12:39:15.500,2311,41.0
12:39:16.0,1081,41.0
12:39:16.500,3599,41.0
12:39:17.0,1000,41.0
12:39:17.500,3680,41.0
12:39:18.0,2597,41.0
12:39:18.500,2620,41.0
12:39:19.0,1888,41.0
12:39:19.500,1539,41.0
12:39:20.0,2652,41.0
12:39:20.500,4912,41.0
12:39:21.0,1237,41.0
12:39:21.500,1520,41.0
12:39:22.0,3566,41.0
12:39:22.500,2704,41.0
12:39:23.0,518,41.0
12:39:23.500,3269,41.0
12:39:24.0,1266,41.0
12:39:24.500,3251,41.0
12:39:25.0,2704,41.0
12:39:25.500,2906,41.0
12:39:26.0,1408,40.0
12:39:26.500,2147,41.0
12:39:27.0,2158,39
12:39:27.500,2588,41.0
12:39:28.0,929,39
12:39:28.500,1572,41.0
12:39:29.0,2096,41.0
12:39:29.500,3699,41.0
12:39:30.0,622,41.0
12:39:30.500,2944,41.0
12:39:31.0,1409,39
12:39:31.500,3369,35.4
12:39:32.0,1341,38
12:39:32.500,2373,39.75
12:39:33.0,2686,35
12:39:33.500,2219,39.0
12:39:34.0,1721,41.0
12:39:34.500,1702,41.0
12:39:35.0,2416,34
12:39:35.500,1847,41.0
12:39:36.0,3201,29.2
12:39:36.500,2892,29.25
12:39:37.0,1599,41.0
12:39:37.500,2523,33.0
12:39:38.0,1391,41.0
12:39:38.500,4037,24.2
12:39:39.0,1386,38.0
12:39:39.500,3231,22
12:39:40.0,1312,31.8
12:39:40.500,1888,29
12:39:41.0,720,23.0
12:39:41.500,926,21.0
12:39:42.0,2002,18.5
12:39:42.500,1037,16.5
12:39:43.0,989,13.4
12:39:43.500,2131,9.0
12:39:44.0,3532,6.0
12:39:44.500,3232,4.5
12:39:45.500,4078,2.5
12:39:46.500,4110,1.0
